SD7062 (14%)
  1.000000  0.000000
  0.996520  0.000570
  0.986340  0.002420
  0.970040  0.005710
  0.948180  0.010360
  0.921270  0.016150
  0.889670  0.022890
  0.853810  0.030490
  0.814270  0.038850
  0.771660  0.047780
  0.726620  0.057020
  0.679730  0.066260
  0.631540  0.075170
  0.582540  0.083470
  0.533220  0.090890
  0.484020  0.097230
  0.435400  0.102290
  0.387790  0.105920
  0.341590  0.108010
  0.297200  0.108460
  0.254960  0.107220
  0.215210  0.104280
  0.178250  0.099650
  0.144320  0.093400
  0.113630  0.085620
  0.086370  0.076470
  0.062690  0.066160
  0.042720  0.054910
  0.026500  0.043000
  0.014100  0.030810
  0.005620  0.018710
  0.001030  0.007110
  0.000270 -0.003270
  0.004250 -0.011150
  0.014140 -0.017010
  0.029910 -0.022050
  0.050990 -0.026230
  0.077100 -0.029480
  0.107980 -0.031790
  0.143280 -0.033190
  0.182650 -0.033670
  0.225700 -0.033270
  0.271990 -0.032060
  0.321050 -0.030100
  0.372380 -0.027470
  0.425470 -0.024260
  0.479790 -0.020640
  0.534770 -0.016800
  0.589750 -0.012950
  0.644030 -0.009270
  0.696920 -0.005930
  0.747680 -0.003070
  0.795570 -0.000790
  0.839900  0.000870
  0.879980  0.001890
  0.915180  0.002300
  0.944910  0.002160
  0.968640  0.001630
  0.985930  0.000920
  0.996460  0.000270
  1.000010  0.000000
